Ing1,Ing2,Ing3,Ing4,Style
Chocolate Malt,Barley - Roasted,,,Foreign (Export)-Style Stout
Nugget,Sterling,Barley - Flaked,Barley - Roasted,Black Malt
Centennial,Warrior,Zythos,Black Malt - Debittered,Caramel/Crystal Malt
Northern Brewer (American),Willamette,Black Roast,Caramel/Crystal Malt,Oats - Flaked
East Kent Golding,Mount Hood,Biscuit Malt,Chocolate Malt,Special B Malt
Apollo,Cascade,Caramel/Crystal Malt,Pale Malt,English Ale
Cascade,Cluster,Summit,Barley - Flaked,Caramel/Crystal Malt 40L
Glacier,Caramel/Crystal Malt,Pilsner Malt,Two-Row Pale Malt,Golden or Blonde Ale
Saaz (Czech),Hallertauer (American),Pale Malt,Bavarian Wheat Yeast,Wheat Malt
Northern Brewer (American),Two-Row Pale Malt,California Ale,,American-Style Stout
Cascade,Columbus,Caramel/Crystal Malt,Two-Row Pale Malt,American-Style Pale Ale
Hallertau Hallertauer Mittelfr’_her,Munich Malt,Two-Row Pale Malt,Wheat Malt - White,Agave Sweetener
Spalt Select,Caramel/Crystal Malt,Munich Malt,Two-Row Pale Malt,Wheat Malt - White
Hallertau Hallertauer Mittelfr’_her,Chocolate Malt,Two-Row Pale Malt,Wheat Malt - White,Belgian Candi Sugar
Chinook,Caramel/Crystal Malt,Two-Row Pale Malt,Wheat Malt,Blackberries
Chinook,Two-Row Pale Malt,Wheat Malt - White,Lemon Peel,Orange Peel
Hallertau Hallertauer Mittelfr’_her,Wheat Malt - White,Acid Blend,,Fruit Wheat Ale or Lager with or without Yeast
Liberty,Saaz (American),Target,Aromatic Malt,CaraPils/Dextrin Malt
Liberty,Perle (American),Tettnanger (American),Two-Row Pale Malt,Wheat Malt - White
Saaz (Czech),Caramel/Crystal Malt,Chocolate Malt,Lager Malt,Pilsner Urqell
Cascade,Magnum,Simcoe,,American-Style India Pale Ale
Saphir (German Organic),Sterling,Rahr Special Pale,Wyermann Vienna,California Ale
Cluster,Mount Hood,Perle (American),Black Malt,Caramel/Crystal Malt 40L
Saaz (Czech),Acidulated Malt,Pilsner Malt,CaraMunich,Wheat Malt
Columbus,Saaz (Czech),,,French & Belgian-Style Saison
Perle (American),Saaz (American),Tradition,Caramel/Crystal Malt 50L,Munich Malt
Willamette,Barley - Roasted,Black Malt - Debittered,Caramel/Crystal Malt,Chocolate Malt
Willamette,Barley - Roasted,Black Malt - Debittered,Caramel/Crystal Malt,Chocolate Malt
Cascade,Centennial,Hallertauer (American),Pilsner Malt,CaraMunich
Citra,CaraPils/Dextrin Malt,Honey Malt,Pilsner Malt,American-Style Cream Ale or Lager
Cascade,Cluster,Glacier,Barley - Flaked,Barley - Roasted
Black Malt,Barley - Roasted,,,American-Style Stout
Cascade,Chinook,Caramel/Crystal Malt,Chocolate Malt,Barley - Roasted
Citra,Caramel/Crystal Malt,Munich Malt,Two-Row Pale Malt,American-Style Brown Ale
Ahtanum,Amarillo,Cascade,Columbus,Simcoe
German Perle,Barley - Roasted,CaraPils/Dextrin Malt,Midnight Wheat,Oats - Flaked
Hallertauer (American),,,,American-Style Amber/Red Ale
Fuggles,Willamette,Caramel/Crystal Malt,Two-Row Pale Malt,Wheat Malt
Warrior,Barley - Roasted,Biscuit Malt,Caramel/Crystal Malt,CaraPils/Dextrin Malt
Alchemy,Cascade,Simcoe,Caramel/Crystal Malt 10L,Caramel/Crystal Malt 80L
Magnum,CaraHell,Munich Malt,Two-Row Pale Malt,Vienna Malt
Magnum,Strisselspalt,Carafa II,CaraMunich,Melanoidin Malt
Northern Brewer (American),Barley - Roasted,Caramel/Crystal Malt 120L,Midnight Wheat,Pale Malt
Athanum,Bravo,Cascade,Simcoe,Tradition
Calypso,Cluster,CTZ,Glacier,Summit
Saphir (German Organic),Brown Malt,Oats - Rolled,Rahr Special Pale,California Ale
Bourbon Barrel Chips,"Chile, Chipotle",,,Brown Porter
Cascade,German Tradition,Glacier,Millenium,Strisselspalt
Cascade,German Tradition,Glacier,Millenium,Strisselspalt
East Kent Golding,Caramel/Crystal Malt 60L,Caramel/Crystal Malt 120L,Chocolate Malt,Munich Malt
Golding (American),Barley - Roasted,Caramel/Crystal Malt,,American-Style Pale Ale
Mount Hood,Perle (American),CaraPils/Dextrin Malt,Chocolate Malt,Caramel/Crystal Malt 75L
Columbus,East Kent Golding,,,Sweet or Cream Stout
Cascade,Pacifica,Pacific Jade,Caramel/Crystal Malt,Chocolate Malt
Brewer's Gold,Nugget,Black Malt,Caramel/Crystal Malt,Malted Rye
Two-Row Barley Malt,Honey,,,Traditional German-Style Bock
Cascade,Summit,,,Imperial or Double Red Ale
Sterling,Tettnanger (American),Caramel/Crystal Malt 40L,Two-Row Pale Malt,Golden or Blonde Ale
Cascade,Crystal,Millenium,,American-Style Black Ale
Amarillo,Cascade,Chinook,Caramel/Crystal Malt,Chocolate Malt
Cascade,Galaxy,Honey,,Imperial or Double India Pale Ale
Centennial,Rye Malt,,,Rye Ale or Lager with or without Yeast
Coriander,"Orange Peel, Sweet",Bravo,Cascade,Centennial
Cascade,Columbus,Golding (American),Black Malt,Caramel/Crystal Malt
Nelson Sauvin,Rakau,Hugh Baird Pale Ale Malt,,Golden or Blonde Ale
Perle (American),Tradition,,,American-Style Lager
Mount Hood,Perle (American),CaraPils/Dextrin Malt,Pilsner Malt,Wheat Malt
Cascade,Galena,Nugget,Tettnanger (American),Lager Malt
Hallertauer (American),Caramel/Crystal Malt - Dark,Oats - Malted,Pale Malt,Vienna Malt
Chocolate,,,,Foreign (Export)-Style Stout
"Coconut Flakes, Toasted",Cocoa Nibs,,,English-Style Pale Mild Ale
Buckwheat - Roasted,Lemon Verbena,Sage,,Belgian-Style Pale Ale
Cascade,Centennial,Barley - Black,Caramel/Crystal Malt,CaraPils/Dextrin Malt
Pilsner Malt,Maris Otter,Wheat Malt,Caramel/Crystal Malt,Hallertauer (American)
corriander,"Orange Peel, Sweet",,,Light American Wheat Ale or Lager with Yeast
Saaz (American),Caramel/Crystal Malt,Vienna Malt,American Ale,Bohemian-Style Pilsener
Apollo,Pale Malt,Wheat Malt,Lemongrass,American Hefeweizen Ale
Alchemy,Citra,Caramel/Crystal Malt 10L,Two-Row Pale Malt,Golden or Blonde Ale
Citra,,,,American-Style Pale Ale
Citra,Two-Row Pale Malt,Vienna Malt,,American-Style Pale Ale
"Coconut Flakes, Toasted",,,,Robust Porter
Mount Hood,Sterling,Chocolate Malt,Chocolate Rye Malt,Caramel/Crystal Malt 75L
Columbus,Willamette,Aromatic Malt,Caramel/Crystal Malt - Dark,Caramel/Crystal Malt - Medium
Cascade,Centennial,Chinook,Caramel/Crystal Malt,Pale Malt
Black Malt,Chocolate Malt,Caramel/Crystal Malt,Pilsner Malt,Barley - Roasted
Sterling,Willamette,Abbey Malt,Barley - Malted,Millet
Maple Extract,Carob,East Kent Golding,Two-Row Pale Malt,Munich Malt
Challenger,Styrian Goldings,Barley - Roasted,Caramel/Crystal Malt,Maris Otter
Galena,Simcoe,Willamette,,American-Style India Pale Ale
Cascade,Centennial,Cluster,Mount Hood,Munich Malt
Spalt,Two-Row Pale Malt,,,German-Style K’_lsch / K’_ln-Style K’_lsch
Hallertauer (American),Magnum,Sterling,Carafa I,CaraHell
Centennial,Chinook,Caramel/Crystal Malt - Organic,Munich Malt - Organic,Pale Malt - Organic
Cascade,Centennial,Magnum,Willamette,Caramel/Crystal Malt 120L
Munich Malt,Caramel/Crystal Malt 60L,,,American-Style Amber/Red Ale
Cascade,Chinook,Magnum,Barley - Malted,American-Style India Pale Ale
Cluster,Glacier,Northern Brewer (American),Summit,Tettnanger (American)
Nugget,,,,American-Style Pale Ale
Hallertauer (American),Saaz (American),Carafa III,Munich Malt - Light,Pilsner Malt
Caramel/Crystal Malt,Pale Malt,,,French & Belgian-Style Saison
Liberty,Pilsner Malt,Two-Row Pale Malt,,American-Style Cream Ale or Lager
Fuggles,Willamette,Aromatic Malt,Biscuit Malt,CaraVienne Malt
Cascade,Fuggles,Hallertauer Hersbrucker,,Irish-Style Red Ale
Cascade,Centennial,Glacier,Liberty,Millenium
Centennial,Simcoe,Barley - Roasted,Caramel/Crystal Malt,Munich Malt
Crystal,Caramel/Crystal Malt 40L,Munich Malt,Two-Row Pale Malt,American-Style Pale Ale
Hallertauer (American),Perle (American),Corn - Flaked,Two-Row Pale Malt,American-Style Lager
Perle (American),Vanguard,Wheat Malt,Two-Row Barley Malt,Golden or Blonde Ale
Aurora,German Perle,Barley - Black,Black Malt,Chocolate Malt
Columbus,Styrian Goldings,Aromatic Malt,Oats - Malted,Pilsner Malt
Cascade,Citra,Columbus,Crystal,American-Style India Pale Ale
Crystal,,,,Old Ale
Bravo,Glacier,Palisades,Summit,Pale Malt
Hallertauer Hersbrucker,Saaz (American),Saphir (German Organic),CaraPils/Dextrin Malt,Pilsner Malt
Columbus,Crystal,Galena,Golding (American),Magnum
Two-Row Pale Malt,Cascade,Magnum,Willamette,Barley - Roasted
Saaz (Czech),Styrian Goldings,Tettnanger (American),Acidulated Malt,Pilsner Malt
Cascade,Centennial,Magnum,,American-Style Amber/Red Ale
Cascade,Centennial,Chinook,Columbus,Simcoe
Centennial,Chinook,Palisades,Warrior,Caramel/Crystal Malt
Glacier,Summit,,,Old Ale
Amarillo,Chinook,Citra,Palisades,Summit
Amarillo,Saaz (American),Pilsner Malt,,California Common Beer
Hallertauer (American),Saaz (American),Pilsner Malt,Vienna Malt,Belgian-Style Tripel
Mosaic,Chocolate Malt,Special B Malt,Two-Row Pale Malt,English Ale
Chocolate Malt,Special B Malt,Two-Row Pale Malt,English Ale,German-Style M’_rzen
Cascade,Nelson Sauvin,Nugget,Sorachi Ace,Target
Perle (American),,,,Golden or Blonde Ale
Cascade,Centennial,,,Golden or Blonde Ale
Cascade,Challenger,Glacier,Tettnanger (American),CaraHell
Centennial,Pacific Jade,Carafa II,Munich Malt - Type I,Munich Malt - Type II
Bravo,Cascade,,,South German-Style Hefeweizen / Hefeweissbier
East Kent Golding,Fuggles,,,Extra Special Bitter
East Kent Golding,,,,Classic English-Style Pale Ale
CaraMunich,Munich Malt,Pilsner Malt,,Dortmunder / European-Style Export
Munich Malt,,,,German-Style Doppelbock
East Kent Golding,Magnum,Styrian Goldings,Caramel/Crystal Malt,Chocolate Malt
East Kent Golding,Mount Hood,Northern Brewer (American),Summit,Brown Malt
Cascade,Perle (American),Caramel/Crystal Malt 120L,Chocolate Malt,Honey
Bravo,Citra,Crystal,Zythos,Chocolate Malt
Centennial,Chinook,Columbus,,Imperial or Double India Pale Ale
Bravo,Cascade,Centennial,Chinook,CTZ
Chinook,Falconer's Flight,Galena,Simcoe,Caramel/Crystal Malt
Saaz (American),Pilsner Malt,,,Bohemian-Style Pilsener
Columbus,Willamette,Cherry Smoked,Chocolate Malt,Barley - Roasted
Glacier,Nugget,Barley - Flaked,Black Malt,Caramel/Crystal Malt
Cascade,Centennial,Magnum,Barley - Roasted,Caramel/Crystal Malt
Columbus,Magnum,Summit,Zythos,Caramel/Crystal Malt 15L
Willamette,Acidulated Malt,Barley - Flaked,Black Malt,Pale Malt
White Labs California Ale (WLP001),Two-Row Barley Malt,Cara Malt,Simcoe,Cascade
Bravo,East Kent Golding,Willamette,Cara Malt,Caramel/Crystal Malt 50L
Amarillo,Cascade,Nugget,Sterling,Caramel/Crystal Malt 40L
Alchemy,Nelson Sauvin,Summit,Caramel/Crystal Malt 20L,Caramel/Crystal Malt 80L
East Kent Golding,Zythos,Barley - Malted,Farmhouse Ale,Light American Wheat Ale or Lager with Yeast
Alchemy,Simcoe,Caramel/Crystal Malt 10L,Extra Special Malt,Honey Malt
Perle (American),Simcoe,Tradition,Amber Malt,Barley - Flaked
Amarillo,Cascade,Centennial,Palisades,Simcoe
"Chocolate, Dark",,,,Sweet or Cream Stout
Apollo,Cascade,Columbus,Barley - Roasted,Caramel/Crystal Malt 60L
Munich Malt,,,,South German-Style Dunkel Weizen / Dunkel Weissbier
#06300,Acidulated Malt,Barley - Roasted,Caramel/Crystal Malt - Dark,Midnight Wheat
Hallertauer (American),Mosaic,Caramel/Crystal Malt 30L,CaraPils/Dextrin Malt,Munich Malt
Centennial,Caramel/Crystal Malt 20L,CaraPils/Dextrin Malt,Two-Row Pale Malt,American Ale
Galena,Perle (American),Tettnanger (American),,German-Style Brown Ale / D’_sseldorf-Style Altbier
East Kent Golding,Fuggles,,,Extra Special Bitter
Cascade,Columbus,Zythos,,American-Style India Pale Ale
Cascade,Centennial,Chinook,Columbus,Simcoe
El Dorado,Barley - Flaked,CaraHell,Caramel/Crystal Malt 15L,Pilsner Malt
Apollo,Two-Row Pale Malt,Wheat Malt,Elderberries,American Hefeweizen Ale
Apollo,Cascade,Simcoe,CaraVienne Malt,Pale Malt
Amarillo,Chinook,Columbus,,American-Style Pale Ale
East Kent Golding,Styrian Goldings,Maris Otter,Two-Row Pale Malt,English-Style India Pale Ale
Perle (American),Caramel/Crystal Malt,Chocolate Malt,,American-Style Dark Lager
Amarillo,Columbus,Palisades,Simcoe,Belgian Abbey
Cascade,,,,American-Style Pale Ale
Cascade,Columbus,Simcoe,Maris Otter,Rye Malt
Hallertauer Hersbrucker,Summit,Aramis,Barley - Roasted,Maris Otter
Centennial,Nugget,Caramel/Crystal Malt,Munich Malt,Two-Row Barley Malt
Liberty,Palisades,Summit,Honey Malt,Pilsner Malt
Golding (American),Target,Willamette,Caramel/Crystal Malt 80L,Munich Malt
Golding (American),Magnum,Aromatic Malt,Black Malt - Debittered,Caramel/Crystal Malt
Columbus,Galena,,,American-Style India Pale Ale
Columbus,Crystal,Galaxy,Mount Hood,Pilsner Malt
Columbus,Fuggles,Barley - Black,Barley - Flaked,Chocolate Malt
Saaz (American),Tettnanger (American),Acidulated Malt,CaraPils/Dextrin Malt,Pilsner Malt
Ahtanum,Centennial,Chinook,Citra,Simcoe
Rasberries,,,,German-Style Leichtes Weizen / Weissbier
Citra,Columbus,Two-Row Pale Malt,Wheat Malt,American-Style Pale Ale
Columbus,Fuggles,Galena,Willamette,Caramel/Crystal Malt 20L
Cascade,Cluster,Nugget,CaraFoam,Munich Malt - Type I
Amarillo,,,,American-Style Black Ale
Motueka,Nelson Sauvin,Pacific Jade,Caramel/Crystal Malt,Gladfield Pale
Columbus,Fuggles,Barley - Roasted,Black Malt,CaraAroma
Hallertauer (American),Pilsner Malt,Wheat Malt,,Belgian-Style White (or Wit) / Belgian-Style Wheat
German Magnum,Mount Hood,Two-Row Barley Malt,Wheat Malt,German Ale
Ahtanum,Amarillo,Simcoe,Warrior,Aromatic Malt
Cascade,Chinook,Willamette,Two-Row Pale Malt,Caramel/Crystal Malt 40L
Hallertauer (American),Tettnanger (American),Aromatic Malt,CaraVienne Malt,Munich Malt
Centennial,Nugget,Caramel/Crystal Malt 80L,Munich Malt,Pale Malt
Northern Brewer (American),Munich Malt,Pilsner Malt,Special B Malt,Belgian Ale
Centennial,Northern Brewer (American),Barley - Roasted,Black Malt,Caramel/Crystal Malt
Munich Malt,Pilsner Malt,,,German-Style Doppelbock
Caramel/Crystal Malt 20L,Pale Malt,Vienna Malt,,American-Style Amber/Red Ale
Oats - Malted,Pilsner Malt,Wheat - Torrified,,French & Belgian-Style Saison
Cluster,Perle (American),Kiln Amber,Two-Row Pale Malt,Wheat Malt
Spelt Malt,,,,French & Belgian-Style Saison
Nugget,Golden Promise,,,American-Style India Pale Ale
Willamette,Wheat - Flaked,,,Belgian-Style Blonde Ale
Pilsner Malt,Wheat Malt,Oats - Malted,Corn - Flaked,"Candy Sugar, Clear"
Cascade,Two-Row Pale Malt,,,Golden or Blonde Ale
Fuggles,,,,American-Style Pale Ale
Saaz (Czech),Magnum,Mount Hood,Carafa II,Caramel/Crystal Malt
Magnum,Tettnanger (American),Carafa II,CaraRed,Munich Malt
Perle (American),Caramel/Crystal Malt 120L,Munich Malt,Two-Row Pale Malt,Traditional German-Style Bock
Mount Hood,Caramel/Crystal Malt,Two-Row Pale Malt,Wheat Malt,Brown Sugar
Cascade,Cluster,Perle (American),Caramel/Crystal Malt 40L,Pale Malt
Amarillo,El Dorado,Simcoe,,American-Style India Pale Ale
Willamette,Caramel/Crystal Malt,Maris Otter,Pale Malt,Spelt Malt
Cascade,Caramel/Crystal Malt 75L,Two-Row Pale Malt,,American-Style Pale Ale
Saaz (American),Strisselspalt,Caramel/Crystal Malt,Chocolate Malt,Munich Malt
Amarillo,Caramel/Crystal Malt,CaraPils/Dextrin Malt,Two-Row Pale Malt,American-Style Brown Ale
Crystal,Mount Hood,Aromatic Malt,Caramel/Crystal Malt,Wheat Malt
Challenger,Fuggles,Amber Malt,Chocolate Malt,Maris Otter
Amarillo,Challenger,Styrian Goldings,Willamette,Caramel/Crystal Malt
Hallertauer (American),Perle (American),Two-Row Pale Malt,Vienna Malt,Wheat Malt
Chinook,Columbus,Black Malt,Caramel/Crystal Malt,Rye Malt
Gladfield Pale,Wheat Malt,London ESB Ale,,Light American Wheat Ale or Lager without Yeast
Cascade,Liberty,Warrior,Caramel/Crystal Malt - Dark,CaraMunich 60L
Apollo,East Kent Golding,Barley - Roasted,CaraBrown,Caramel/Crystal Malt
Galena,Mount Hood,Six-Row Pale Malt,Corn - Flaked,Light American Wheat Ale or Lager with Yeast
Hallertauer (American),,,,South German-Style Hefeweizen / Hefeweissbier
New Zealand Hallertauer,Southern Cross,CaraPils/Dextrin Malt,Pale Malt,Wheat Malt
Tettnanger (American),,,,South German-Style Hefeweizen / Hefeweissbier
Alchemy,Cascade,Willamette,Caramel/Crystal Malt 40L,Munich Malt
Magnum,Two-Row Pale Malt,Wheat Malt - White,,Fruit Wheat Ale or Lager with or without Yeast
Northern Brewer (American),,,,Oatmeal Stout
Centennial,Brown Sugar,,,British-Style Barley Wine Ale
Hallertauer (American),Spalt,Pilsner Malt,Two-Row Pale Malt,Vienna Malt
Hallertauer (American),Perle (American),CaraFoam,Munich Malt,Pilsner Malt
CaraFoam,Caramel/Crystal Malt - Dark,Chocolate Malt,Pale Malt,Black Patent
Motueka,,,,American-Style India Pale Ale
Munich Malt,Wheat Malt,Chocolate Rye Malt,Hallertauer Herkules,Specialty Beer
Saaz (Czech),Hallertauer Perle,Sterling,Black Malt,CaraHell
Galena,Hallertauer Hersbrucker,Nugget,Cara Malt,Lager Malt
Apollo,Hallertauer (American),Caramel/Crystal Malt,Cherrywood Smoke Malt,Pale Malt
Columbus,Pale Malt,English Ale,,American-Style India Pale Ale
Cascade,Columbus,Galena,Caramel/Crystal Malt 20L,Caramel/Crystal Malt 60L
English Ale,Wheat Malt,Pale Malt,Acidulated Malt,Columbus
Cascade,Chinook,Columbus,Magnum,Willamette
Saaz (American),Honey,,,South German-Style Hefeweizen / Hefeweissbier
Calypso,Citra,Crystal,El Dorado,Nugget
Ahtanum,Amarillo,Cascade,Centennial,Columbus
Cascade,Columbus,Fuggles,Caramel/Crystal Malt,Munich Malt
Amarillo,Centennial,Magnum,Mosaic,Simcoe
East Kent Golding,Galena,Nugget,Barley - Flaked,Barley - Roasted
East Kent Golding,Cascade,,,American-Style India Pale Ale
Apollo,Cascade,Columbus,Warrior,Two-Row Pale Malt
